Date,Service_Provider
7/1/16 12:32,Uber
7/1/16 12:32,Uber
7/1/16 12:36,Uber
7/1/16 12:37,Uber
7/1/16 12:38,Uber
7/1/16 12:38,Lyft
7/1/16 12:38,Uber
7/1/16 12:38,Uber
7/1/16 12:40,Uber
7/1/16 12:42,Uber
7/1/16 12:43,Uber
7/1/16 12:43,Uber
7/1/16 12:43,Uber
7/1/16 12:46,Uber
7/1/16 12:48,Uber
7/1/16 12:49,Uber
7/1/16 12:50,Lyft
7/1/16 12:51,Lyft
7/1/16 12:53,Uber
7/1/16 12:53,Uber
7/1/16 12:53,Uber
7/1/16 12:55,Uber
7/1/16 12:57,Uber
7/1/16 12:57,Uber
7/1/16 12:57,Uber
7/1/16 12:57,Uber
7/1/16 12:58,Uber
7/1/16 12:58,Lyft
7/1/16 12:58,Uber
7/1/16 12:59,Uber
7/1/16 12:59,Uber
7/1/16 13:00,Uber
7/1/16 13:00,Uber
7/1/16 13:02,Uber
7/1/16 13:02,Uber
7/1/16 13:05,Uber
7/1/16 13:05,Uber
7/1/16 13:06,Uber
7/1/16 13:06,Uber
7/1/16 13:07,Uber
7/1/16 13:08,Uber
7/1/16 13:08,Uber
7/1/16 13:09,Uber
7/1/16 13:09,Lyft
7/1/16 13:11,Uber
7/1/16 13:11,Lyft
7/1/16 13:11,Uber
7/1/16 13:11,Uber
7/1/16 13:12,Uber
7/1/16 13:12,Lyft
7/1/16 13:13,Uber
7/1/16 13:13,Uber
7/1/16 13:14,Lyft
7/1/16 13:15,Uber
7/1/16 13:15,Uber
7/1/16 13:15,Uber
7/1/16 13:15,Uber
7/1/16 13:15,Lyft
7/1/16 13:15,Uber
7/1/16 13:16,Uber
7/1/16 13:16,Uber
7/1/16 13:17,Uber
7/1/16 13:17,Uber
7/1/16 13:17,Uber
7/1/16 13:18,Uber
7/1/16 13:18,Uber
7/1/16 13:19,Uber
7/1/16 13:20,Uber
7/1/16 13:21,Lyft
7/1/16 13:21,Uber
7/1/16 13:22,Uber
7/1/16 13:22,Uber
7/1/16 13:24,Uber
7/1/16 13:24,Uber
7/1/16 13:25,Uber
7/1/16 13:25,Lyft
7/1/16 13:26,Uber
7/1/16 13:26,Uber
7/1/16 13:26,Uber
7/1/16 13:27,Uber
7/1/16 13:27,Lyft
7/1/16 13:27,Uber
7/1/16 13:27,Uber
7/1/16 13:28,Uber
7/1/16 13:29,Uber
7/1/16 13:32,Uber
7/1/16 13:32,Uber
7/1/16 13:33,Uber
7/1/16 13:34,Lyft
7/1/16 13:34,Uber
7/1/16 13:34,Uber
7/1/16 13:35,Uber
7/1/16 13:37,Uber
7/1/16 13:37,Uber
7/1/16 13:38,Uber
7/1/16 13:39,Uber
7/1/16 13:39,Uber
7/1/16 13:40,Uber
7/1/16 13:42,Uber
7/1/16 13:43,Lyft
7/1/16 13:44,Lyft
7/1/16 13:46,Lyft
7/1/16 13:46,Uber
7/1/16 13:47,Uber
7/1/16 13:48,Uber
7/1/16 13:49,Uber
7/1/16 13:49,Uber
7/1/16 13:49,Uber
7/1/16 13:49,Uber
7/1/16 13:50,Uber
7/1/16 13:50,Lyft
7/1/16 13:51,Uber
7/1/16 13:51,Uber
7/1/16 13:51,Uber
7/1/16 13:53,Uber
7/1/16 13:55,Lyft
7/1/16 13:58,Uber
7/1/16 13:58,Uber
7/1/16 13:58,Uber
7/1/16 13:58,Uber
7/1/16 13:58,Uber
7/1/16 13:59,Uber
7/1/16 13:59,Uber
7/1/16 13:59,Uber
7/1/16 14:00,Uber
7/1/16 14:00,Lyft
7/1/16 14:01,Uber
7/1/16 14:03,Uber
7/1/16 14:03,Uber
7/1/16 14:03,Lyft
7/1/16 14:05,Uber
7/1/16 14:05,Uber
7/1/16 14:05,Uber
7/1/16 14:06,Uber
7/1/16 14:07,Uber
7/1/16 14:08,Lyft
7/1/16 14:08,Uber
7/1/16 14:09,Uber
7/1/16 14:11,Uber
7/1/16 14:11,Lyft
7/1/16 14:12,Lyft
7/1/16 14:13,Lyft
7/1/16 14:13,Uber
7/1/16 14:13,Uber
7/1/16 14:13,Uber
7/1/16 14:14,Uber
7/1/16 14:14,Uber
7/1/16 14:14,Uber
7/1/16 14:15,Uber
7/1/16 14:16,Uber
7/1/16 14:18,Uber
7/1/16 14:20,Uber
7/1/16 14:21,Uber
7/1/16 14:21,Uber
7/1/16 14:22,Uber
7/1/16 14:22,Uber
7/1/16 14:22,Uber
7/1/16 14:23,Lyft
7/1/16 14:23,Lyft
7/1/16 14:25,Uber
7/1/16 14:27,Uber
7/1/16 14:28,Lyft
7/1/16 14:28,Uber
7/1/16 14:28,Uber
7/1/16 14:29,Uber
7/1/16 14:30,Lyft
7/1/16 14:30,Uber
7/1/16 14:32,Uber
7/1/16 14:32,Uber
7/1/16 14:32,Uber
7/1/16 14:33,Uber
7/1/16 14:33,Uber
7/1/16 14:33,Uber
7/1/16 14:35,Uber
7/1/16 14:36,Uber
7/1/16 14:36,Uber
7/1/16 14:36,Uber
7/1/16 14:37,Uber
7/1/16 14:37,Uber
7/1/16 14:38,Uber
7/1/16 14:38,Uber
7/1/16 14:38,Uber
7/1/16 14:39,Lyft
7/1/16 14:39,Uber
7/1/16 14:40,Uber
7/1/16 14:40,Uber
7/1/16 14:40,Uber
7/1/16 14:40,Uber
7/1/16 14:41,Uber
7/1/16 14:42,Uber
7/1/16 14:42,Uber
7/1/16 14:43,Uber
7/1/16 14:43,Uber
7/1/16 14:43,Uber
7/1/16 14:46,Uber
7/1/16 14:46,Uber
7/1/16 14:46,Uber
7/1/16 14:47,Uber
7/1/16 14:48,Uber
7/1/16 14:49,Uber
7/1/16 14:49,Uber
7/1/16 14:50,Uber
7/1/16 14:51,Uber
7/1/16 14:51,Uber
7/1/16 14:52,Uber
7/1/16 14:52,Uber
7/1/16 14:55,Uber
7/1/16 14:55,Uber
7/1/16 14:55,Uber
7/1/16 14:55,Lyft
7/1/16 14:56,Lyft
7/1/16 14:56,Uber
7/1/16 14:57,Uber
7/1/16 14:57,Uber
7/1/16 14:57,Uber
7/1/16 14:58,Uber
7/1/16 14:58,Lyft
7/1/16 14:58,Lyft
7/1/16 15:00,Uber
7/1/16 15:00,Uber
7/1/16 15:01,Uber
7/1/16 15:04,Uber
7/1/16 15:06,Uber
7/1/16 15:06,Uber
7/1/16 15:06,Uber
7/1/16 15:08,Uber
7/1/16 15:08,Uber
7/1/16 15:11,Lyft
7/1/16 15:11,Uber
7/1/16 15:11,Uber
7/1/16 15:11,Uber
7/1/16 15:13,Uber
7/1/16 15:14,Uber
7/1/16 15:16,Uber
7/1/16 15:18,Uber
7/1/16 15:21,Uber
7/1/16 15:21,Uber
7/1/16 15:22,Uber
7/1/16 15:23,Uber
7/1/16 15:25,Uber
7/1/16 15:28,Uber
7/1/16 15:30,Uber
7/1/16 15:31,Uber
7/1/16 15:31,Uber
7/1/16 15:32,Uber
7/1/16 15:32,Uber
7/1/16 15:32,Uber
7/1/16 15:33,Uber
7/1/16 15:33,Uber
7/1/16 15:37,Uber
7/1/16 15:39,Uber
7/1/16 15:39,Uber
